Date,Time,Venue,Team A,Team B,Toss winners,Toss decision,1st innings score,1st innings wickets,2nd innings score,2nd innings wickets,match winner,won by,highest scorer,runs,highest wickets,figures,MoM
Nov-04,01:30,"M. Chinnaswamy Stadium, Bengaluru",New Zealand,Pakistan,Pakistan,Bowling,401,6,200,1,Pakistan,runs,Fahkhar Zaman,126,M.Nasim,3/60(10),Fahkhar Zaman
Nov-04,01:30,"Narendra Modi Stadium, Ahmedabad",England,Australia,England,Bowling,286,10,253,10,Australia,runs,m.labuschane,71,Adam Zampa,3/21(10),Adam Zampa
Nov-05,01:30,"Eden Gardens, Kolkata",India,South Africa,India,Batting,326,5,83,10,India,runs,Virat Kohli,101,Ravindra Jadeja,5/33(9),Virat Kohli
Nov-06,01:30,"Arun Jaitley Stadium, Delhi",Bangladesh,Srilanka,Bangladesh,Bowling,279,10,282,7,Bangladesh,Wickets,C.Asalanka,108,S.A.Hasan,2/57(10),S.A.Hasan
Nov-07,01:30,"Wankhede Stadium, Mumbai",Australia,Afghanistan,Afghanistan,Batting,291,5,293,7,Australia,Wickets,Glenn maxwell,201,Rashid khan,2/44(10),Glenn maxwell
Nov-08,01:30,"Maharashtra Cricket Association Stadium, Gahunje",England,Netherlands,England,Batting,339,9,179,10,England,Runs,ben stokes,108,Moeen ali,3/42(10),ben stokes
Nov-09,01:30,"M. Chinnaswamy Stadium, Bengaluru",New Zealand,Srilanka,New Zealand,Bowling,171,10,172,6,New Zealand,Wickets,kusal perera,54,Trent Boult,3/37(10),Trent Boult
Nov-10,01:30,"Narendra Modi Stadium, Ahmedabad",South Africa,Afghanistan,Afghanistan,Batting,244,10,247,5,South Africa,Wickets,azmatullah,97,goetzee,4/44(10),R.V.Dussen
Nov-11,2,"Eden Gardens, Kolkata",England,Pakistan,England,Batting,337,9,244,10,England,Runs,Ben stokes,84,David Willey,3/56(10),David Willey
Nov-11,10:30,"Maharashtra Cricket Association Stadium, Gahunje",Australia,Bangladesh,Australia,Bowling,306,8,307,2,Australia,Wickets,Mitchell Marsh,177,Adam Zampa,2/32(10),Mitchell Marsh
Nov-12,01:30,"M. Chinnaswamy Stadium, Bengaluru",India,Netherland,,Batting,410,4,250,10,India,Runs,Shreyas Iyer,124,J.bumrah,2/33(9),Shreyas Iyer
Nov-15,01:30,"Wankhede Stadium, Mumbai",India,New Zealand,India,Batting,397,4,327,10,India,Runs,Daryl Mitchell,127,M.shami,7/57(10),M.Shami
Nov-16,01:30,"Eden Gardens, Kolkata",South Africa,Australia,South Africa,Batting,212,10,215,7,Australia,Wickets,David miller,101,Mitchell starc,3/34(10),Travis Head
Nov-19,01:30,"Narendra Modi Stadium, Ahmedabad",India,Australia,Australia,Bowling,240,10,241,4,Australia,Wickets,Travis head,137,Mitchell starc,3/54(10),Travis Head
